ID,X,Y,Area,City,Country,Continent,GridEPSG,dCenter,TransportSource,RushHour,TransportYear,DistanceDriving,DurationDriving,DistanceTransit,DurationTransit
78,603002,6196101,1005424,Montevideo,Uruguay,South_America,32721,66201.3041540597,Google,17h00,2020,90793.7169814169,6980.69536159161,NA,NA
79,604002,6196101,1005418,Montevideo,Uruguay,South_America,32721,66658.8530361746,Google,17h00,2020,89021.7307668927,7151.97521067421,NA,NA
80,605002,6196101,1005413,Montevideo,Uruguay,South_America,32721,67128.1811499337,Google,17h00,2020,87249.7445523686,7323.25505975682,NA,NA
81,606002,6196101,1005407,Montevideo,Uruguay,South_America,32721,67609.0431887504,Google,17h00,2020,85477.7583378444,7494.53490883942,NA,NA
82,607002,6196101,1005403,Montevideo,Uruguay,South_America,32721,68101.1948301814,Google,17h00,2020,83705.7721233203,7665.81475792202,NA,NA
83,608002,6196101,1005396,Montevideo,Uruguay,South_America,32721,68604.3931078639,Google,17h00,2020,79536.9490699924,7925.98215079625,NA,NA
84,609002,6196101,1005393,Montevideo,Uruguay,South_America,32721,69118.3967558444,Google,17h00,2020,79741.1110393171,7992.16609667641,NA,NA
85,610002,6196101,1005386,Montevideo,Uruguay,South_America,32721,69642.9665256896,Google,17h00,2020,79945.2730086418,8058.35004255657,NA,NA
86,611002,6196101,1005382,Montevideo,Uruguay,South_America,32721,70177.8654769317,Google,17h00,2020,80482.3815718582,8139.90196295251,NA,NA
87,612002,6196101,1005376,Montevideo,Uruguay,South_America,32721,70722.8592415375,Google,17h00,2020,81803.9010105286,8248.0721073194,NA,NA
88,613002,6196101,1005370,Montevideo,Uruguay,South_America,32721,71277.7162632075,Google,17h00,2020,86791.7703541788,8082.12386795713,NA,NA
89,614002,6196101,1005365,Montevideo,Uruguay,South_America,32721,71842.2080124095,Google,17h00,2020,88485.9170615201,8131.82828943129,NA,NA
90,615002,6196101,1005359,Montevideo,Uruguay,South_America,32721,72416.1091781264,Google,17h00,2020,89694.4700706049,8141.92450878027,NA,NA
91,616002,6196101,1005353,Montevideo,Uruguay,South_America,32721,72999.197837362,Google,17h00,2020,90722.8110611623,8137.32145571109,NA,NA
92,617002,6196101,1005348,Montevideo,Uruguay,South_America,32721,73591.2556034908,Google,17h00,2020,91989.7160782111,8156.24566739041,NA,NA
93,618002,6196101,1005341,Montevideo,Uruguay,South_America,32721,74192.0677545674,Google,17h00,2020,93326.0478649685,8182.01677051263,NA,NA
94,619002,6196101,1005336,Montevideo,Uruguay,South_America,32721,74801.4233427301,Google,17h00,2020,94662.3796517258,8207.78787363486,NA,NA
95,620002,6196101,1005329,Montevideo,Uruguay,South_America,32721,75419.1152858367,Google,17h00,2020,96032.3483032662,8245.74342874018,NA,NA
96,621002,6196101,1005324,Montevideo,Uruguay,South_America,32721,76044.9404424668,Google,17h00,2020,97430.2865476376,8293.83055119083,NA,NA
97,622002,6196101,1005318,Montevideo,Uruguay,South_America,32721,76678.6996714102,Google,17h00,2020,98828.2247920089,8341.91767364148,NA,NA
98,623002,6196101,1005311,Montevideo,Uruguay,South_America,32721,77320.1978767406,Google,17h00,2020,100226.16303638,8390.00479609214,NA,NA
99,624002,6196101,1005307,Montevideo,Uruguay,South_America,32721,77969.2440395463,Google,17h00,2020,101624.101280752,8438.09191854279,NA,NA
100,625002,6196101,1005299,Montevideo,Uruguay,South_America,32721,78625.6512373559,Google,17h00,2020,103022.039525123,8486.17904099345,NA,NA
101,626002,6196101,1005294,Montevideo,Uruguay,South_America,32721,79289.2366522615,Google,17h00,2020,104163.25790184,8548.53711955851,NA,NA
102,627002,6196101,1005287,Montevideo,Uruguay,South_America,32721,79959.8215686999,Google,17h00,2020,104255.501502532,8669.20729188764,NA,NA
103,628002,6196101,1005281,Montevideo,Uruguay,South_America,32721,80637.2313618115,Google,17h00,2020,104347.745103224,8789.87746421678,NA,NA
104,629002,6196101,1005275,Montevideo,Uruguay,South_America,32721,81321.2954772508,Google,17h00,2020,104439.988703917,8910.54763654591,NA,NA
105,630002,6196101,1005269,Montevideo,Uruguay,South_America,32721,82011.8474032766,Google,17h00,2020,104532.232304609,9031.21780887504,NA,NA
106,631002,6196101,1005261,Montevideo,Uruguay,South_America,32721,82708.7246359072,Google,17h00,2020,104624.475905301,9151.88798120417,NA,NA
107,632002,6196101,1005256,Montevideo,Uruguay,South_America,32721,83411.7686378746,Google,17h00,2020,104716.719505994,9272.5581535333,NA,NA
108,633002,6196101,1005249,Montevideo,Uruguay,South_America,32721,84120.8247920711,Google,17h00,2020,98336.3772536139,9776.87720572027,NA,NA
109,634002,6196101,1005243,Montevideo,Uruguay,South_America,32721,84835.742350134,Google,17h00,2020,110333.437882138,9172.387775486,NA,NA
110,526002,6195101,1005663,Montevideo,Uruguay,South_America,32721,74770.6330513412,Google,17h00,2020,NA,NA,NA,NA
111,527002,6195101,1005662,Montevideo,Uruguay,South_America,32721,74144.7070484355,Google,17h00,2020,NA,NA,NA,NA
112,528002,6195101,1005661,Montevideo,Uruguay,South_America,32721,73527.0535224846,Google,17h00,2020,NA,NA,NA,NA
113,529002,6195101,1005659,Montevideo,Uruguay,South_America,32721,72917.8826907249,Google,17h00,2020,NA,NA,NA,NA
114,530002,6195101,1005658,Montevideo,Uruguay,South_America,32721,72317.4089172055,Google,17h00,2020,NA,NA,NA,NA
115,531002,6195101,1005656,Montevideo,Uruguay,South_America,32721,71725.8506321,Google,17h00,2020,NA,NA,NA,NA
