STUDY_ID,Short_Citation,First Author Last,Pub_Year,Country,Continent,OVERALL_Analysis,GERMINATION_Analysis,SURVIVAL_Analysis,GROWTH_Analysis,COVER_Analysis,LnRR_GERM,ESTVAR3_GERM,LnRR_SURVIVAL,ESTVAR3_SURVIVAL,LnRR_GROWTH,ESTVAR3_GROWTH,LnRR_COVER,ESTVAR3_COVER,LnRR_AVG,ESTVAR3_AVG,ESTVAR1,Soil reps (n),Control reps (n),Experimental location,BIOCRUST_TYPE,ECOSYSTEM_OF_ORIGIN,PLANT_FUNCTIONAL_GROUP,PLANT_NATIVENESS,PLANT_DURATION,PLANT_ROOT_MORPHOLOGY,SOIL_REFERENCE_STATE,STUDY_LOCATION,Plant_Species,Plant_Common_Name,Plant_Family,Plant_Lifeform,Lat_Y,Long_X,Aridity_Index,BIOCLIM_MAT,BIOCLIM_MAP
2319,Langhans et al. (2009),Langhans,2009,Germany,Europe,Yes,Yes,Yes,No,No,7.8225080000000006E-3,5.6859149999999997E-3,0,5.6770140000000002E-3,NA,NA,NA,NA,3.9112540000000003E-3,5.6814650000000001E-3,0.4,5,5,Darmstadt,Moss,Other,C3 Grass,Native,Annual,Fibrous,Bare soil,Greenhouse,Phleum arenarium,sand timothy,Poaceae,Grass,49.883333329999999,8.65,0.88700000000000001,9.6,650
2319,Langhans et al. (2009),Langhans,2009,Germany,Europe,Yes,Yes,Yes,No,No,0,2.0282521000000001E-2,1.622250953,8.8916619999999998E-3,NA,NA,NA,NA,0.81112547599999996,1.4587091999999999E-2,0.4,5,5,Darmstadt,Moss,Other,Non N-fixing Forb,Native,Annual,Tap,Bare soil,Greenhouse,Silene conica,striped corn catchfly,Caryophyllaceae,Forb,49.883333329999999,8.65,0.88700000000000001,9.6,650
2319,Langhans et al. (2009),Langhans,2009,Germany,Europe,Yes,Yes,Yes,No,No,3.4916561999999998E-2,7.3721079999999996E-3,0.48550540599999997,7.6003370000000004E-3,NA,NA,NA,NA,0.26021098399999998,7.4862230000000002E-3,0.4,5,5,Darmstadt,Moss,Other,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Greenhouse,Silene otites,NA,Caryophyllaceae,Forb,49.883333329999999,8.65,0.88700000000000001,9.6,650
2319,Langhans et al. (2009),Langhans,2009,Germany,Europe,Yes,Yes,Yes,No,No,-0.83738867400000006,1.4435274999999999E-2,13.383090920000001,NA,NA,NA,NA,NA,6.2728511219999996,1.4435274999999999E-2,0.4,5,5,Darmstadt,Moss,Other,Non N-fixing Forb,Native,Annual,Tap,Bare soil,Greenhouse,Alyssum alyssoides,pale madwort,Brassicaceae,Forb,49.883333329999999,8.65,0.88700000000000001,9.6,650
2319,Langhans et al. (2009),Langhans,2009,Germany,Europe,Yes,Yes,Yes,No,No,-2.5792576000000001E-2,5.7380729999999998E-3,0,5.6770140000000002E-3,NA,NA,NA,NA,-1.2896288000000001E-2,5.7075440000000002E-3,0.4,5,5,Darmstadt,Moss,Other,C3 Grass,Native,Annual,Fibrous,Bare soil,Greenhouse,Phleum arenarium,sand timothy,Poaceae,Grass,49.883333329999999,8.65,0.88700000000000001,9.6,650
2319,Langhans et al. (2009),Langhans,2009,Germany,Europe,Yes,Yes,Yes,No,No,-1.047481211,8.2714309999999992E-3,1.098606414,9.4819250000000004E-3,NA,NA,NA,NA,2.5562601000000001E-2,8.8766780000000007E-3,0.4,5,5,Darmstadt,Moss,Other,Non N-fixing Forb,Native,Annual,Tap,Bare soil,Greenhouse,Silene conica,striped corn catchfly,Caryophyllaceae,Forb,49.883333329999999,8.65,0.88700000000000001,9.6,650
2319,Langhans et al. (2009),Langhans,2009,Germany,Europe,Yes,Yes,Yes,No,No,-0.984343254,9.8464369999999996E-3,-2.4099079999999998E-2,7.8757170000000008E-3,NA,NA,NA,NA,-0.50422116699999997,8.8610770000000002E-3,0.4,5,5,Darmstadt,Moss,Other,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Greenhouse,Silene otites,NA,Caryophyllaceae,Forb,49.883333329999999,8.65,0.88700000000000001,9.6,650
2319,Langhans et al. (2009),Langhans,2009,Germany,Europe,Yes,Yes,Yes,No,No,-1.1780693630000001,9.6603799999999997E-3,13.54191415,NA,NA,NA,NA,NA,6.1819223929999998,9.6603799999999997E-3,0.4,5,5,Darmstadt,Moss,Other,Non N-fixing Forb,Native,Annual,Tap,Bare soil,Greenhouse,Alyssum alyssoides,pale madwort,Brassicaceae,Forb,49.883333329999999,8.65,0.88700000000000001,9.6,650
2319,Langhans et al. (2009),Langhans,2009,Germany,Europe,Yes,Yes,Yes,No,No,-0.17954695000000001,5.9211630000000001E-3,-0.10064377300000001,5.7937170000000003E-3,NA,NA,NA,NA,-0.140095362,5.8574400000000002E-3,0.4,5,5,Darmstadt,Moss,Other,C3 Grass,Native,Annual,Fibrous,Bare soil,Greenhouse,Phleum arenarium,sand timothy,Poaceae,Grass,49.883333329999999,8.65,0.88700000000000001,9.6,650
2319,Langhans et al. (2009),Langhans,2009,Germany,Europe,Yes,Yes,Yes,No,No,-0.63890583300000003,7.5184220000000003E-3,0.31845266300000002,1.0843805999999999E-2,NA,NA,NA,NA,-0.160226585,9.1811140000000006E-3,0.4,5,5,Darmstadt,Moss,Other,Non N-fixing Forb,Native,Annual,Tap,Bare soil,Greenhouse,Silene conica,striped corn catchfly,Caryophyllaceae,Forb,49.883333329999999,8.65,0.88700000000000001,9.6,650
2319,Langhans et al. (2009),Langhans,2009,Germany,Europe,Yes,Yes,Yes,No,No,-0.62204813999999997,9.0524360000000005E-3,-1.5404377300000001,1.117976E-2,NA,NA,NA,NA,-1.0812429349999999,1.0116098E-2,0.4,5,5,Darmstadt,Moss,Other,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Greenhouse,Silene otites,NA,Caryophyllaceae,Forb,49.883333329999999,8.65,0.88700000000000001,9.6,650
2319,Langhans et al. (2009),Langhans,2009,Germany,Europe,Yes,No,Yes,No,No,NA,NA,-0.61089904500000003,1.6703287000000001E-2,NA,NA,NA,NA,-0.61089904500000003,1.6703287000000001E-2,0.4,5,5,Darmstadt,Moss,Other,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Greenhouse,Alyssum montanum ssp. gmelinii,NA,Brassicaceae,Forb,49.883333329999999,8.65,0.88700000000000001,9.6,650
2319,Langhans et al. (2009),Langhans,2009,Germany,Europe,Yes,No,Yes,No,No,NA,NA,-0.57144976300000005,6.6629740000000003E-3,NA,NA,NA,NA,-0.57144976300000005,6.6629740000000003E-3,0.4,5,5,Darmstadt,Moss,Other,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Greenhouse,Alyssum montanum ssp. gmelinii,NA,Brassicaceae,Forb,49.883333329999999,8.65,0.88700000000000001,9.6,650
2319,Langhans et al. (2009),Langhans,2009,Germany,Europe,Yes,No,Yes,No,No,NA,NA,-0.29571221199999997,9.3669519999999996E-3,NA,NA,NA,NA,-0.29571221199999997,9.3669519999999996E-3,0.4,5,5,Darmstadt,Moss,Other,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Greenhouse,Helianthemum nummularium,NA,Cistaceae,Forb,49.883333329999999,8.65,0.88700000000000001,9.6,650
2319,Langhans et al. (2009),Langhans,2009,Germany,Europe,Yes,No,Yes,No,No,NA,NA,-13.815511559999999,1.8036572230000001,NA,NA,NA,NA,-13.815511559999999,1.8036572230000001,0.4,5,5,Darmstadt,Moss,Other,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Greenhouse,Helianthemum nummularium,NA,Cistaceae,Forb,49.883333329999999,8.65,0.88700000000000001,9.6,650
2319,Langhans et al. (2009),Langhans,2009,Germany,Europe,Yes,No,Yes,No,No,NA,NA,-0.315850405,1.3799538E-2,NA,NA,NA,NA,-0.315850405,1.3799538E-2,0.4,5,5,Darmstadt,Moss,Other,Non N-fixing Forb,Native,Annual,Tap,Bare soil,Greenhouse,Silene conica,striped corn catchfly,Caryophyllaceae,Forb,49.883333329999999,8.65,0.88700000000000001,9.6,650
2319,Langhans et al. (2009),Langhans,2009,Germany,Europe,Yes,No,Yes,No,No,NA,NA,-0.48317074700000001,1.0379962E-2,NA,NA,NA,NA,-0.48317074700000001,1.0379962E-2,0.4,5,5,Darmstadt,Moss,Other,Non N-fixing Forb,Native,Annual,Tap,Bare soil,Greenhouse,Silene conica,striped corn catchfly,Caryophyllaceae,Forb,49.883333329999999,8.65,0.88700000000000001,9.6,650
2319,Langhans et al. (2009),Langhans,2009,Germany,Europe,Yes,No,Yes,No,No,NA,NA,-5.2798031000000002E-2,7.7847330000000003E-3,NA,NA,NA,NA,-5.2798031000000002E-2,7.7847330000000003E-3,0.4,5,5,Darmstadt,Moss,Other,N-fixing Forb,Native,Annual,Tap,Bare soil,Greenhouse,Vicia lathyroides,spring vetch,Fabaceae,Forb,49.883333329999999,8.65,0.88700000000000001,9.6,650
2319,Langhans et al. (2009),Langhans,2009,Germany,Europe,Yes,No,Yes,No,No,NA,NA,-0.38174762800000001,6.145724E-3,NA,NA,NA,NA,-0.38174762800000001,6.145724E-3,0.4,5,5,Darmstadt,Moss,Other,N-fixing Forb,Native,Annual,Tap,Bare soil,Greenhouse,Vicia lathyroides,spring vetch,Fabaceae,Forb,49.883333329999999,8.65,0.88700000000000001,9.6,650
2397,Mendoza-Aguilar et al. (2014),Mendoza-Aguilar,2014,Spain,Europe,Yes,No,Yes,No,No,NA,NA,-0.104139946,3.8091710000000001E-3,NA,NA,NA,NA,-0.104139946,3.8091710000000001E-3,0.2,10,10,Aigües,Mixed,Semi-Arid,C3 Grass,Native,Perennial,Fibrous,Bare soil,Field,Brachypodium retusum,NA,Poaceae,Grass,38.516666669999999,-0.35,0.48599999999999999,16.5,453
2397,Mendoza-Aguilar et al. (2014),Mendoza-Aguilar,2014,Spain,Europe,Yes,No,Yes,No,No,NA,NA,-0.42381397399999998,4.9846300000000003E-3,NA,NA,NA,NA,-0.42381397399999998,4.9846300000000003E-3,0.2,10,10,Aigües,Mixed,Semi-Arid,Non N-fixing Woody Plant,Native,Perennial,Tap,Bare soil,Field,Pistacia lentiscus,mastic tree,Anacardiaceae,Shrub,38.516666669999999,-0.35,0.48599999999999999,16.5,453
2397,Mendoza-Aguilar et al. (2014),Mendoza-Aguilar,2014,Spain,Europe,Yes,No,Yes,No,No,NA,NA,0.114112803,3.6464980000000002E-3,NA,NA,NA,NA,0.114112803,3.6464980000000002E-3,0.2,10,10,Aigües,Mixed,Semi-Arid,C3 Grass,Native,Perennial,Fibrous,Bare soil,Field,Brachypodium retusum,NA,Poaceae,Grass,38.516666669999999,-0.35,0.48599999999999999,16.5,453
2397,Mendoza-Aguilar et al. (2014),Mendoza-Aguilar,2014,Spain,Europe,Yes,No,Yes,No,No,NA,NA,-0.178690864,4.7319529999999997E-3,NA,NA,NA,NA,-0.178690864,4.7319529999999997E-3,0.2,10,10,Aigües,Mixed,Semi-Arid,Non N-fixing Woody Plant,Native,Perennial,Tap,Bare soil,Field,Pistacia lentiscus,mastic tree,Anacardiaceae,Shrub,38.516666669999999,-0.35,0.48599999999999999,16.5,453
2675,Peter et al (2016),Peter,2016,Argentina,South America,Yes,Yes,No,Yes,No,-0.38566154000000002,4.0590410000000002E-3,NA,NA,0.26826380599999999,2.4253740000000001E-3,NA,NA,-5.8698867000000002E-2,3.2422079999999999E-3,0.2,10,10,The Patagonian Monte,Moss,Semi-Arid,C3 Grass,Native,Perennial,Fibrous,Bare soil,Field,Nassella tenuis,NA,Poaceae,Grass,-40.65,-62.9,0.27800000000000002,14.2,339
2675,Peter et al (2016),Peter,2016,Argentina,South America,Yes,Yes,No,Yes,No,1.9980850969999999,5.6542290000000002E-3,NA,NA,1.7047440009999999,4.0693609999999996E-3,NA,NA,1.851414549,4.8617950000000004E-3,0.2,10,10,The Patagonian Monte,Moss,Semi-Arid,C3 Grass,Native,Perennial,Fibrous,Bare soil,Field,Nassella tenuis,NA,Poaceae,Grass,-40.65,-62.9,0.27800000000000002,14.2,339
2144,Deines et al. (2007),Deines,2007,USA,North America,Yes,Yes,No,No,No,-0.16611741499999999,4.2967379999999996E-3,NA,NA,NA,NA,NA,NA,-0.16611741499999999,4.2967379999999996E-3,0.28571428599999998,7,7,"Grandview, Idaho",Mixed,Semi-Arid,C3 Grass,Non-Native,Annual,Fibrous,Bare soil,Greenhouse,Bromus tectorum,cheatgrass,Poaceae,Grass,42.54,-116,0.27600000000000002,7.1,306
2144,Deines et al. (2007),Deines,2007,USA,North America,Yes,Yes,No,No,No,-5.1535211999999997E-2,4.2360399999999999E-3,NA,NA,NA,NA,NA,NA,-5.1535211999999997E-2,4.2360399999999999E-3,0.28571428599999998,7,7,"Grandview, Idaho",Mixed,Semi-Arid,C3 Grass,Non-Native,Annual,Fibrous,Bare soil,Greenhouse,Bromus tectorum,cheatgrass,Poaceae,Grass,42.54,-116,0.27600000000000002,7.1,306
2144,Deines et al. (2007),Deines,2007,USA,North America,Yes,Yes,No,No,No,-4.7184197999999997E-2,4.247883E-3,NA,NA,NA,NA,NA,NA,-4.7184197999999997E-2,4.247883E-3,0.28571428599999998,7,7,"Grandview, Idaho",Mixed,Semi-Arid,C3 Grass,Non-Native,Annual,Fibrous,Bare soil,Greenhouse,Bromus tectorum,cheatgrass,Poaceae,Grass,42.54,-116,0.27600000000000002,7.1,306
2144,Deines et al. (2007),Deines,2007,USA,North America,Yes,Yes,No,No,No,-8.5766353000000004E-2,4.2583869999999998E-3,NA,NA,NA,NA,NA,NA,-8.5766353000000004E-2,4.2583869999999998E-3,0.28571428599999998,7,7,"Grandview, Idaho",Mixed,Semi-Arid,C3 Grass,Native,Annual,Fibrous,Bare soil,Greenhouse,Vulpia microstachys,small fescue,Poaceae,Grass,42.54,-116,0.27600000000000002,7.1,306
2144,Deines et al. (2007),Deines,2007,USA,North America,Yes,Yes,No,No,No,1.4051391999999999E-2,4.242427E-3,NA,NA,NA,NA,NA,NA,1.4051391999999999E-2,4.242427E-3,0.28571428599999998,7,7,"Grandview, Idaho",Mixed,Semi-Arid,C3 Grass,Native,Annual,Fibrous,Bare soil,Greenhouse,Vulpia microstachys,small fescue,Poaceae,Grass,42.54,-116,0.27600000000000002,7.1,306
2144,Deines et al. (2007),Deines,2007,USA,North America,Yes,Yes,No,No,No,2.4091248999999999E-2,4.2840320000000001E-3,NA,NA,NA,NA,NA,NA,2.4091248999999999E-2,4.2840320000000001E-3,0.28571428599999998,7,7,"Grandview, Idaho",Mixed,Semi-Arid,C3 Grass,Native,Annual,Fibrous,Bare soil,Greenhouse,Vulpia microstachys,small fescue,Poaceae,Grass,42.54,-116,0.27600000000000002,7.1,306
2144,Deines et al. (2007),Deines,2007,USA,North America,Yes,Yes,No,No,No,-0.65427397899999995,4.7758369999999998E-3,NA,NA,NA,NA,NA,NA,-0.65427397899999995,4.7758369999999998E-3,0.28571428599999998,7,7,"Boise, Idaho",Lichen,Semi-Arid,C3 Grass,Non-Native,Annual,Fibrous,Bare soil,Greenhouse,Bromus tectorum,cheatgrass,Poaceae,Grass,43.32,-116.1,0.219,10.199999999999999,303
2144,Deines et al. (2007),Deines,2007,USA,North America,Yes,Yes,No,No,No,-1.1994162960000001,5.4843310000000003E-3,NA,NA,NA,NA,NA,NA,-1.1994162960000001,5.4843310000000003E-3,0.28571428599999998,7,7,"Boise, Idaho",Lichen,Semi-Arid,C3 Grass,Non-Native,Annual,Fibrous,Bare soil,Greenhouse,Bromus tectorum,cheatgrass,Poaceae,Grass,43.32,-116.1,0.219,10.199999999999999,303
2144,Deines et al. (2007),Deines,2007,USA,North America,Yes,Yes,No,No,No,-1.2690246220000001,5.6006010000000002E-3,NA,NA,NA,NA,NA,NA,-1.2690246220000001,5.6006010000000002E-3,0.28571428599999998,7,7,"Boise, Idaho",Lichen,Semi-Arid,C3 Grass,Non-Native,Annual,Fibrous,Bare soil,Greenhouse,Bromus tectorum,cheatgrass,Poaceae,Grass,43.32,-116.1,0.219,10.199999999999999,303
2144,Deines et al. (2007),Deines,2007,USA,North America,Yes,Yes,No,No,No,-0.85647024699999996,5.0411750000000002E-3,NA,NA,NA,NA,NA,NA,-0.85647024699999996,5.0411750000000002E-3,0.28571428599999998,7,7,"Boise, Idaho",Lichen,Semi-Arid,C3 Grass,Native,Annual,Fibrous,Bare soil,Greenhouse,Vulpia microstachys,small fescue,Poaceae,Grass,43.32,-116.1,0.219,10.199999999999999,303
2144,Deines et al. (2007),Deines,2007,USA,North America,Yes,Yes,No,No,No,-1.166928492,5.5210299999999997E-3,NA,NA,NA,NA,NA,NA,-1.166928492,5.5210299999999997E-3,0.28571428599999998,7,7,"Boise, Idaho",Lichen,Semi-Arid,C3 Grass,Native,Annual,Fibrous,Bare soil,Greenhouse,Vulpia microstachys,small fescue,Poaceae,Grass,43.32,-116.1,0.219,10.199999999999999,303
2144,Deines et al. (2007),Deines,2007,USA,North America,Yes,Yes,No,No,No,-1.0745176400000001,5.4616250000000003E-3,NA,NA,NA,NA,NA,NA,-1.0745176400000001,5.4616250000000003E-3,0.28571428599999998,7,7,"Boise, Idaho",Lichen,Semi-Arid,C3 Grass,Native,Annual,Fibrous,Bare soil,Greenhouse,Vulpia microstachys,small fescue,Poaceae,Grass,43.32,-116.1,0.219,10.199999999999999,303
2144,Deines et al. (2007),Deines,2007,USA,North America,Yes,Yes,No,No,No,-0.21008543800000001,1.236074E-3,NA,NA,NA,NA,NA,NA,-0.21008543800000001,1.236074E-3,0.28571428599999998,7,7,"Grandview, Idaho",Mixed,Semi-Arid,C3 Grass,Non-Native,Annual,Fibrous,Bare soil,Greenhouse,Bromus tectorum,cheatgrass,Poaceae,Grass,42.54,-116,0.27600000000000002,7.1,306
2144,Deines et al. (2007),Deines,2007,USA,North America,Yes,Yes,No,No,No,-7.3674366000000005E-2,1.0651980000000001E-3,NA,NA,NA,NA,NA,NA,-7.3674366000000005E-2,1.0651980000000001E-3,0.28571428599999998,7,7,"Grandview, Idaho",Mixed,Semi-Arid,C3 Grass,Native,Annual,Fibrous,Bare soil,Greenhouse,Vulpia microstachys,small fescue,Poaceae,Grass,42.54,-116,0.27600000000000002,7.1,306
2144,Deines et al. (2007),Deines,2007,USA,North America,Yes,Yes,No,No,No,-2.6270670819999999,1.8868569000000002E-2,NA,NA,NA,NA,NA,NA,-2.6270670819999999,1.8868569000000002E-2,0.28571428599999998,7,7,"Boise, Idaho",Lichen,Semi-Arid,C3 Grass,Non-Native,Annual,Fibrous,Bare soil,Greenhouse,Bromus tectorum,cheatgrass,Poaceae,Grass,43.32,-116.1,0.219,10.199999999999999,303
2144,Deines et al. (2007),Deines,2007,USA,North America,Yes,Yes,No,No,No,-2.0783068990000002,6.8615009999999999E-3,NA,NA,NA,NA,NA,NA,-2.0783068990000002,6.8615009999999999E-3,0.28571428599999998,7,7,"Boise, Idaho",Lichen,Semi-Arid,C3 Grass,Native,Annual,Fibrous,Bare soil,Greenhouse,Vulpia microstachys,small fescue,Poaceae,Grass,43.32,-116.1,0.219,10.199999999999999,303
2431,Pendleton et al. (2003),Pendleton,2003,USA,North America,Yes,No,No,Yes,No,NA,NA,NA,NA,0.65191186099999998,3.8450379E-2,NA,NA,0.65191186099999998,3.8450379E-2,0.4,5,5,"Sand Flats, Moab, Utah",Cyanobacteria,Semi-Arid,C3 Grass,Non-Native,Annual,Fibrous,Bare soil,Greenhouse,Bromus tectorum,cheatgrass,Poaceae,Grass,38.340000000000003,-109.31,0.42699999999999999,8.1999999999999993,366
2431,Pendleton et al. (2003),Pendleton,2003,USA,North America,Yes,No,No,Yes,No,NA,NA,NA,NA,0.71562003600000001,5.7573489999999998E-2,NA,NA,0.71562003600000001,5.7573489999999998E-2,0.4,5,5,"Sand Flats, Moab, Utah",Cyanobacteria,Semi-Arid,C3 Grass,Native,Perennial,Fibrous,Bare soil,Greenhouse,Elymus elymoides,squirreltail,Poaceae,Grass,38.340000000000003,-109.31,0.42699999999999999,8.1999999999999993,366
2431,Pendleton et al. (2003),Pendleton,2003,USA,North America,Yes,No,No,Yes,No,NA,NA,NA,NA,0.24652399999999999,3.5196406999999999E-2,NA,NA,0.24652399999999999,3.5196406999999999E-2,0.4,5,5,"Sand Flats, Moab, Utah",Cyanobacteria,Semi-Arid,Non N-fixing Forb,Native,Annual,Fibrous,Bare soil,Greenhouse,Gaillardia pulchella,Indian blanket,Asteraceae,Forb,38.340000000000003,-109.31,0.42699999999999999,8.1999999999999993,366
2431,Pendleton et al. (2003),Pendleton,2003,USA,North America,Yes,No,No,Yes,No,NA,NA,NA,NA,0.37469344900000001,4.2399762000000001E-2,NA,NA,0.37469344900000001,4.2399762000000001E-2,0.4,5,5,"Sand Flats, Moab, Utah",Cyanobacteria,Semi-Arid,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Greenhouse,Sphaeralcea munroana,Munro's globemallow,Malvaceae,Forb,38.340000000000003,-109.31,0.42699999999999999,8.1999999999999993,366
2621,Zhang et al. (2013),Zhang,2013,China,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-0.711639048,3.0376829999999998E-3,-0.711639048,3.0376829999999998E-3,0.125,16,16,"Mu Us Sandy Land (Maowusu Desert within Ordos Desert), Yulin, Shaanxi, Hiina",Cyanobacteria,Semi-Arid,Non N-fixing Woody Plant,Native,Perennial,Tap,Biocrust disturbance,Field,Artemisia ordosica,Sagebrush,Asteraceae,Shrub,38.414999999999999,109.41500000000001,0.38700000000000001,8.1,401
2621,Zhang et al. (2013),Zhang,2013,China,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-1.1038842929999999,3.2748909999999998E-3,-1.1038842929999999,3.2748909999999998E-3,0.125,16,16,"Mu Us Sandy Land (Maowusu Desert within Ordos Desert), Yulin, Shaanxi, Hiina",Cyanobacteria,Semi-Arid,Non N-fixing Woody Plant,Native,Perennial,Tap,Biocrust disturbance,Field,Artemisia ordosica,Sagebrush,Asteraceae,Shrub,38.414999999999999,109.41500000000001,0.38700000000000001,8.1,401
2621,Zhang et al. (2013),Zhang,2013,China,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-1.1321298470000001,3.263447E-3,-1.1321298470000001,3.263447E-3,0.125,16,16,"Mu Us Sandy Land (Maowusu Desert within Ordos Desert), Yulin, Shaanxi, Hiina",Cyanobacteria,Semi-Arid,Non N-fixing Woody Plant,Native,Perennial,Tap,Biocrust disturbance,Field,Artemisia ordosica,Sagebrush,Asteraceae,Shrub,38.414999999999999,109.41500000000001,0.38700000000000001,8.1,401
2621,Zhang et al. (2013),Zhang,2013,China,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,0.711639048,3.0376829999999998E-3,0.711639048,3.0376829999999998E-3,0.125,16,16,"Mu Us Sandy Land (Maowusu Desert within Ordos Desert), Yulin, Shaanxi, Hiina",Cyanobacteria,Semi-Arid,Non N-fixing Woody Plant,Native,Perennial,Tap,Biocrust disturbance,Field,Artemisia ordosica,Sagebrush,Asteraceae,Shrub,38.414999999999999,109.41500000000001,0.38700000000000001,8.1,401
2621,Zhang et al. (2013),Zhang,2013,China,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,1.1038842929999999,3.2748909999999998E-3,1.1038842929999999,3.2748909999999998E-3,0.125,16,16,"Mu Us Sandy Land (Maowusu Desert within Ordos Desert), Yulin, Shaanxi, Hiina",Cyanobacteria,Semi-Arid,Non N-fixing Woody Plant,Native,Perennial,Tap,Biocrust disturbance,Field,Artemisia ordosica,Sagebrush,Asteraceae,Shrub,38.414999999999999,109.41500000000001,0.38700000000000001,8.1,401
2621,Zhang et al. (2013),Zhang,2013,China,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,1.1321298470000001,3.263447E-3,1.1321298470000001,3.263447E-3,0.125,16,16,"Mu Us Sandy Land (Maowusu Desert within Ordos Desert), Yulin, Shaanxi, Hiina",Cyanobacteria,Semi-Arid,Non N-fixing Woody Plant,Native,Perennial,Tap,Biocrust disturbance,Field,Artemisia ordosica,Sagebrush,Asteraceae,Shrub,38.414999999999999,109.41500000000001,0.38700000000000001,8.1,401
2672,Muller et al. (2011),Muller,2011,Norway,Europe,Yes,Yes,No,No,No,0,1.1217872E-2,NA,NA,NA,NA,NA,NA,0,1.1217872E-2,0.2,10,10,Longyearbyen,Moss,Other,Non N-fixing Forb,Native,Perennial,Fibrous,Bare soil,Field,Polygonum viviparum,Alpine bisort,Polygonaceae,Forb,78.183333000000005,15.583333,0.90100000000000002,-8.5,321
2672,Muller et al. (2011),Muller,2011,Norway,Europe,Yes,Yes,No,No,No,0.182313224,1.3112548E-2,NA,NA,NA,NA,NA,NA,0.182313224,1.3112548E-2,0.2,10,10,Longyearbyen,Moss,Other,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Field,Oxyria digyna,alpine mountainsorrel,Polygonaceae,Forb,78.183333000000005,15.583333,0.90100000000000002,-8.5,321
2672,Muller et al. (2011),Muller,2011,Norway,Europe,Yes,Yes,No,No,No,0.18313001400000001,1.3006962E-2,NA,NA,NA,NA,NA,NA,0.18313001400000001,1.3006962E-2,0.2,10,10,Longyearbyen,Moss,Other,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Field,Saxifraga oppositifolia,Purple mountain saxifrage,Saxifragaceae,Forb,78.183333000000005,15.583333,0.90100000000000002,-8.5,321
2672,Muller et al. (2011),Muller,2011,Norway,Europe,Yes,Yes,No,No,No,10.385944569999999,0.36378090099999999,NA,NA,NA,NA,NA,NA,10.385944569999999,0.36378090099999999,0.2,10,10,Longyearbyen,Moss,Other,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Field,Dryas octopetala,eightpetal mountain-avens,Rosaceae,Forb,78.183333000000005,15.583333,0.90100000000000002,-8.5,321
2672,Muller et al. (2011),Muller,2011,Norway,Europe,Yes,Yes,No,No,No,1.3291257350000001,6.4593819999999996E-3,NA,NA,NA,NA,NA,NA,1.3291257350000001,6.4593819999999996E-3,0.2,10,10,Longyearbyen,Moss,Other,Non N-fixing Woody Plant,Native,Perennial,Fibrous,Bare soil,Field,Salix polaris,polar willow,Salicaceae,Shrub,78.183333000000005,15.583333,0.90100000000000002,-8.5,321
2672,Muller et al. (2011),Muller,2011,Norway,Europe,Yes,Yes,No,No,No,5.9219055E-2,5.4713360000000003E-3,NA,NA,NA,NA,NA,NA,5.9219055E-2,5.4713360000000003E-3,0.2,10,10,Longyearbyen,Moss,Other,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Field,Silene acaulis,moss campion,Caryophyllaceae,Forb,78.183333000000005,15.583333,0.90100000000000002,-8.5,321
2228,Hawkes (2004),Hawkes,2004,USA,North America,Yes,Yes,No,No,No,2.515596242,2.3403019999999998E-3,NA,NA,NA,NA,NA,NA,2.515596242,2.3403019999999998E-3,0.04,50,50,"Archbold Biological Station, Venus, Florida",Mixed,Other,Non N-fixing Forb,Native,Perennial,Tap,Biocrust disturbance,Greenhouse,Eryngium cuneifolium,wedgeleaf eryngo,Apiaceae,Forb,27.183333000000001,-81.349999999999994,0.82799999999999996,22.2,1253
2228,Hawkes (2004),Hawkes,2004,USA,North America,Yes,Yes,No,No,No,1.599210571,1.1993920000000001E-3,NA,NA,NA,NA,NA,NA,1.599210571,1.1993920000000001E-3,0.04,50,50,"Archbold Biological Station, Venus, Florida",Mixed,Other,Non N-fixing Forb,Native,Perennial,Tap,Biocrust disturbance,Greenhouse,Hypericum cumulicola,highlands scrub St. Johnswort,Clusiaceae,Forb,27.183333000000001,-81.349999999999994,0.82799999999999996,22.2,1253
